試行回数	ノード	ノード間距離
954	1645	0.0
955	1073	0.0
956	838	0.0
957	1126	0.0
958	1156	0.0
959	1071	0.0
960	941	0.0
961	1435	0.0
962	801	0.0
963	717	0.0
964	1511	0.0
965	1245	0.0
966	1216	0.0
967	904	0.0
968	918	0.0
969	871	0.0
970	1056	0.0
971	887	0.0
972	902	0.0
973	966	0.0
974	848	0.0
975	1046	0.0
976	634	0.0
977	1323	0.0
978	973	0.0
979	954	0.0
980	980	0.0
981	1210	0.0
982	833	0.0
983	1076	0.0
984	895	0.0
985	787	0.0
986	841	0.0
987	216	0.0
988	867	0.0
989	1230	0.0
990	883	0.0
991	1107	0.0
992	983	0.0
993	1295	0.0
994	1053	0.0
995	802	0.0
996	1081	0.0
997	1068	0.0
998	510	0.0
999	915	0.0
1000	1021	0.0
1001	878	0.0
1002	1022	0.0
1003	961	0.0
1004	579	0.0
1005	1162	0.0
1006	803	0.0
1007	969	0.0
1008	909	0.0
1009	901	0.0
1010	1178	0.0
1011	432	0.0
1012	943	0.0
1013	974	0.0
1014	1047	0.0
1015	1034	0.0
1016	922	0.0
1017	971	0.0
1018	903	0.0
1019	1315	0.0
1020	1168	0.0
1021	1092	0.0
1022	680	0.0
1023	1060	0.0
1024	1312	0.0
1025	863	0.0
1026	1026	0.0
1027	976	0.0
1028	995	0.0
1029	1008	0.0
1030	1339	0.0
1031	1130	0.0
1032	1358	0.0
1033	1043	0.0
1034	1180	0.0
1035	1508	0.0
1036	956	0.0
1037	719	0.0
1038	1246	0.0
1039	1031	0.0
1040	945	0.0
1041	654	0.0
1042	1259	0.0
1043	1036	0.0
1044	761	0.0
1045	979	0.0
1046	1172	0.0
1047	1086	0.0
1048	1231	0.0
1049	1153	0.0
1050	1055	0.0
1051	997	0.0
1052	934	0.0
1053	1262	0.0
1054	988	0.0
1055	711	0.0
1056	950	0.0
1057	1283	0.0
1058	1280	0.0
1059	852	0.0
1060	1191	0.0
1061	1025	0.0
1062	691	0.0
1063	1085	0.0
1064	1066	0.0
1065	1405	0.0
1066	1010	0.0
1067	908	0.0
1068	1137	0.0
1069	933	0.0
1070	1042	0.0
1071	959	0.0
1072	1365	0.0
1073	1083	0.0
1074	994	0.0
1075	893	0.0
1076	962	0.0
1077	939	0.0
1078	1080	0.0
1079	990	0.0
1080	1287	0.0
1081	1163	0.0
1082	1145	0.0
1083	1035	0.0
1084	968	0.0
1085	1194	0.0
1086	1075	0.0
1087	1258	0.0
1088	1174	0.0
1089	989	0.0
1090	1135	0.0
1091	1001	0.0
1092	1063	0.0
1093	1483	0.0
1094	804	0.0
1095	936	0.0
1096	1110	0.0
1097	1348	0.0
1098	720	0.0
1099	506	0.0
1100	1272	0.0
1101	1009	0.0
1102	1270	0.0
1103	860	0.0
1104	1177	0.0
1105	1212	0.0
1106	1119	0.0
1107	982	0.0
1108	1096	0.0
1109	1070	0.0
1110	1329	0.0
1111	891	0.0
1112	1204	0.0
1113	949	0.0
1114	1235	0.0
1115	1370	0.0
1116	1241	0.0
1117	1170	0.0
1118	1159	0.0
1119	1100	0.0
1120	1061	0.0
1121	1167	0.0
1122	1019	0.0
1123	1142	0.0
1124	1264	0.0
1125	837	0.0
1126	996	0.0
1127	1184	0.0
1128	1217	0.0
1129	861	0.0
1130	1327	0.0
1131	910	0.0
1132	1322	0.0
1133	1219	0.0
1134	1006	0.0
1135	1138	0.0
1136	1079	0.0
1137	964	0.0
1138	1005	0.0
1139	1157	0.0
1140	1448	0.0
1141	1463	0.0
1142	1152	0.0
1143	1049	0.0
1144	1179	0.0
1145	928	0.0
1146	1229	0.0
1147	986	0.0
1148	1371	0.0
1149	1263	0.0
1150	1090	0.0
1151	1274	0.0
